Category,Funding Classification,Funder,Scheme,Academic CI and PCI costs,Personnel Costs,Other costs allowable,Ineligible costs,Monash Contribution (cash or in kind),Indirect Costs Allowable?,Indirect Cost Rate (if specified),Max indirect cost applied in application,last checked,,,,,,,,,,,,,,,,
Category 2,State/Territory/Local (own purpose),Victorian Cancer Agency,Mid Career Research Fellowship,Capped salary support,"• Salary support up to $130,000 per annum
• On-costs capped at 25 per cent of salary (i.e., $32,500 for a total salary of $130,000)
The full-time equivalent salary that can be requested by the Applicant is up to $130,000 per annum and must align with the Applicant’s current salary, which is commensurate with the award negotiated with the individual Applicant’s institution.

Any Associate and Co-Investigators listed on the application must be assigned an FTE above 0 (e.g., 0.05 FTE).

Full time and part time fellowships available.

Refer to link for further information: https://www.victoriancanceragency.vic.gov.au/sites/default/files/documents/202306/2023%20VCA%20Funding%20Round%20-%20Mid%20Career%20Research%20Fellowship%20Guidelines_0.docx","Direct research costs capped at a maximum of $50,000 per annum, within the overall limit of $175,000 per annum. This amount may include on-costs for the Applicant (capped at 25 per cent) and costs for additional salaries required other than for the Applicant. 

Examples of direct research costs may include: (Per guidelines) 
•	Animal costs - including purchase and agistment
•	Consumables - laboratory and/or other consumables to be used for the project
•	Equipment - items of equipment required specifically for the project
•	Patient participation costs - patient incentives, as well as reimbursement for costs incurred as a result of participation
•	Sample analysis costs - fees for analysis and transport of specimens, and any other costs associated with sample analysis
•	Software - purchase or development of software packages
•	Survey costs - printing costs for questionnaires/envelopes, postage, phone calls, etc
•	Transcription costs - costs involved in transcribing results
•	Travel to conduct research - only travel required for carrying out the research project. Travel to attend conferences, workshops, etc., should be requested under 'Other research costs'.
•	Interpretation services including but not limited to translation of resources into languages other than English
•	Remuneration and training/conference support for consumers to be engaged in the proposed research.

Refer to Guidelines: https://www.aciar.gov.au/sites/default/files/2020-08/research-budget-guidelines-for-project-teams.pdf""

The VCA will determine what constitutes a direct research cost based on the principles set out in the NHMRC Direct Research Cost Guidelines: https://www.nhmrc.gov.au/sites/default/files/documents/attachments/direct-researchrcostsrguidelinesraugustr2017.pdf",Not mentioned,,Unallowable,,0%,23-Mar,,,,,,,,,,,,,,,,
Category 2,State/Territory/Local (own purpose),Transport Accident Commission (TAC) (trading as Transport Accident Commission Compensation Payments) (Victoria),Value-based Healthcare Innovation Grant Program,"	Allowable as part of “key personnel” salary contributions. The Chief Investigator (CI) can be funded if they are actively involved in project management or research roles. No distinction between CI and other key personnel","Key personnel - Salary contributions for supporting project management roles, consultants (e.g. researchers), experts (e.g. statistician) and consumers. Must match the roles and responsibilities of the position and reflect the time commitment","	Allowable direct costs include:
• Equipment essential to the project – individual items ≤ $5,000 (e.g., translation/transcribing equipment, specialist software/devices, outcome measurement tools).
• Travel essential to the project (e.g., vehicle mileage, accommodation for data collection).
• Other direct research costs – ethics approval fees, venue hire, hospitality for workshops associated with data collection.
https://www.tac.vic.gov.au/__data/assets/pdf_file/0020/607142/TAC-Value-Based-Healthcare-Grant-Program-Guidelines.pdf"," Infrastructure and capital works
 Professional membership fees
 Professional development courses
 Conference registration fees
 Cleaning services
 Anything not directly related to the project","Not required, but co‑contributions and in‑kind support are viewed favourably",Unallowable,,0%,10-Apr,,,,,,,,,,,,,,,,
Category 3,Australian not-for profit organisations / Australian,Diabetes Australia,General Grants,Salary,"base salary and additional leave loading, payroll and other costs as required by employing body","ii)Equipment (Note: applications that include equipment costing over $5,000 will be ineligible)

iii)Travel (field expenses etc. Note: applications that include conference travel will be ineligible)

iv)Consumables and Other Expenses (itemise these expenses in the Budget Justification section below e.g. animals, printing and stationery, computing, radiochemical, etc.)    

Refer to : https://www.diabetesaustralia.com.au/wp-content/uploads/Diabetes-Australia-Project-Grants-Guidelines-2026.pdf","Applications that include equipment costing over $5,000 or conference travel will be ineligible. 
An application that seeks funding for administrative or other indirect expenses will not be considered
https://www.diabetesaustralia.com.au/wp-content/uploads/Diabetes-Australia-Project-Grants-Guidelines-2026.pdf",,Unallowable,,0%,23-Mar,,,,,,,,,,,,,,,,
Category 3,"International government (other)/ International government (own purpose) – USA Gov
",US National Science Foundation (NSF),All Grants,Salary,"As a general policy, NSF limits the salary compensation requested in the proposal budget for senior personnel to no more than two months of their regular salary in any one year.

If the proposer’s usual accounting practices provide that its contributions to employee benefits (leave, employee insurance, social security, retirement, other payroll-related taxes, etc.) be treated as direct costs, NSF award funds may be requested to fund fringe benefits as a direct cost. 

Refer to the funding policy for full description: https://new.nsf.gov/policies/pappg/23-1/ch-2-proposal-preparation#2D2fi","Equipment, Travel, Participant support (stipend, subsistence allowances, travel allowances), materials and supplies, publication/documentation/dissemination, consultant services.

Refer to the guidelines for the full list and description: https://new.nsf.gov/policies/pappg/23-1/ch-2-proposal-preparation#2D2f","Entertainment, meals, alcoholic beverages, home office workspace. Refer to guidelines for full description: https://new.nsf.gov/policies/pappg/23-1/ch-2-proposal-preparation#2D2f",,"Except where specifically identified in an NSF program solicitation, the applicable U.S. Federally negotiated indirect cost rate(s) must be used in computing indirect costs (F&A) for a proposal. Use of an indirect cost rate lower than the organization’s current negotiated indirect cost rate is considered a violation of NSF’s cost sharing policy.

Foreign organizations that do not have a current U.S. Federally negotiated indirect cost rate(s) are limited to a de minimis indirect cost rate recovery of 10% of modified total direct costs. Foreign recipients that have a U.S. Federally negotiated indirect cost rate(s) may recover indirect costs at the current negotiated rate.",,49%,23-Mar,Not 0%?,,,,,,,,,,,,,,,
Category 3,"Australian philanthropy/Australian not-for profit organisations
",National Breast Cancer Foundation,NBCF Investigator Initiated Research Scheme (IIRS) ,"Pi's and CI's Funded but with salary cap. Refer to link for salary cap amounts which is determined by years of experience

https://nbcf.org.au/wp-content/uploads/2023/05/IIRS-2024-Applicant-Guidelines_FINAL.pdf ","Claiming salary on-costs as part of NBCF awards is not allowed, except as set out in the
approved budget of the Grant Application. Only superannuation is allowed.

The NBCF Investigator Initiated Research Scheme is designed to have a single PI applying for
funding. A PI can nominate a maximum of five Co-Is on the grant and an unlimited number of
Associate Investigators (AIs). Requests for salary for AIs will not be allowed.

PIs may apply for the salaries of any research support staff they deem appropriate to ensure
the successful completion of the project (comprising research assistants/officers, junior
postdoctoral fellows, and specialised personnel such as bio-informaticians, statisticians,
project managers etc.). 

• Salary cap for postdoctoral fellows who are part of additional personnel: Applicants
can apply for a maximum of $100,000 per annum at 1.0 FTE (or full-time equivalent salary
of $100,000 inclusive of superannuation) for postdoctoral researchers that are part of
research personnel but not named as a PI or Co-I in the investigator team.
• NBCF also requires that any postdoctoral researcher for whom greater than 0.5 FTE
salary support is requested must be included as a PI or Co-I if they have already been
linked to the project or linked to the requested salary support in any way (more details
in section 5.2). ","• Materials required to conduct the approved research-laboratory supplies, consumables,
purchase of animals
• Reimbursement of reasonable costs associated with clinical studies
• Reasonable medical diagnosis costs for clinical trial participants (MRI, PET, CT, ultrasound,
genotyping, biochemical analysis)
• Equipment
• Purchase of services directly required for the successful conduct of the project
• Cost of animal agistment and animals purchased which are a direct requirement of the
research project
• Specialised computing requirements that are essential for the proposed project
• Data collection and analysis
• Travel costs essential to the project, including economy travel costs for domestic and/or
international travel, as per the approved budget

Refer to the Grant expenditure guidelines here: 
https://nbcf.org.au/wp-content/uploads/2019/12/NBCF-Grant-Expenditure-Guidelines-new-brand-_v1.2.pdf","Grant funds cannot be used for institution overhead costs or expenses of the Research
Personnel or the Administering Institution.

Refer to full list of unallowable costs in the grant expenditure guidelines:  https://nbcf.org.au/wp-content/uploads/2019/12/NBCF-Grant-Expenditure-Guidelines-new-brand-_v1.2.pdf",,Unallowable,,0%,23-Mar,,,,,,,,,,,,,,,,
Category 3,International not-for profit organisations,Juvenile Diabetes Research Foundation (JDRF) (United States of America),All schemes,"Follows U.S. National Institutes of Health (NIH) salary guidelines for Principal Investigators and Postdoctoral Fellows.

https://www.breakthrought1d.org/wp-content/uploads/2024/07/granthandbook.pdf","Salaries & Wages includes wages earned by an employee, and may include benefits, including insurance and retirement plans, Fringe benefits in the form of employer contributions or expenses for social security, employee insurance, workmen's compensation insurance, tuition or remission of tuition for individual employees are allowable, provided such benefits are granted in accordance with established educational institutional policies, and are distributed to all institutional activities on an equitable basis.

Stipends are applied for JDRF Postdoctoral and Advanced Postdoctoral Fellowships in place of Salary
& Wages. Stipend levels are determined based on the fellow’s years of postdoctoral experience","Direct Costs are defined as those costs falling within the following JDRF budget categories: Salaries & Wages,
Stipends, Supplies, Other Costs, Research Allowances, and Travel.

https://grantcenter.jdrf.org/wp-content/uploads/2023/06/JDRF-Terms-and-Conditions-6.29.2023.pdf

Per the Terms & Conditions, it follows the principles listed here(Code of Federal Regulation) https://www.ecfr.gov/current/title-2/subtitle-A/chapter-II/part-200/subpart-E","•  Lobbying: JDRF grant funds may not be used for lobbying purposes of any kind.
• Tuition and registration fees
• General office supplies/equipment
• Computers*
• Administrative assistance costs
• Financial Analyst, Accountant cost
• Rent
• Office telecommunications
• Advertising costs
• Patent applications
• Indirect cost for fee-for services, consultants, and contractors

https://grantcenter.jdrf.org/wp-content/uploads/2023/06/JDRF-Terms-and-Conditions-6.29.2023.pdf
",,"Indirect costs are limited to 10% of direct costs. The Grantee Institution may request indirect costs less than 10%. Equipment, subcontract, contractual, and fee-for service costs are not direct costs. In instances where there is a subcontract, the Grantee Institution may budget up to 10% indirect costs on the direct costs to be incurred at the Grantee Institution. The Grantee Institution may not incur any indirect costs off the subcontract costs.

Indirect costs are not allowable for JDRF Postdoctoral Fellowship or Advanced Postdoctoral Fellowship awards.",,10%,23-Mar,,,,,,,,,,,,,,,,
Category 3,International not-for profit organisations,New York Stem Cell Foundation,Robertson Stem Cell Investigator Award,"As this is a career development award, not a project-specific award, and funds may be used at the discretion of awardees to increase the impact of their research, subject to the terms of the award letter.",Not specified in guidelines,"As this is a career development award, not a project-specific award, and funds may be used at the discretion of awardees to increase the impact of their research, subject to the terms of the award letter.",Not specified in guidelines,,No institutional overhead is provided.,,0%,23-Mar,,,,,,,,,,,,,,,,
Category 2,State/Territory/Local (own purpose),Victorian Health Promotion Foundation (trading as VicHealth) (Victoria),VicHealth Impact Research Grants ,Salaries of research team,Salaries of research team,"VicHealth funding will normally be available for direct project expenses only; i.e. those additional expenses and consumables that are necessarily incurred to implement the project. 

Domestic travel and accommodation directly related to the research project
Program delivery expenditure 
Research and evaluation costs including participant reimbursement fees and vouchers 
Resource materials and costs related to the publication and/or other translation of research findings 
Capital items (conditions apply) 
Organisational overheads when incurred as a direct result of the funded project 
(Please note that value-formoney will be considered in our assessments, so these expenses should be kept to a minimum)","Capital works (e.g. Buildings or maintenance or purchase of major equipment, purchase and lease of land/vehicles)
Commercial activities or individual persons 
Core organizational operating costs 
Retrospective funding 
Projects that are considered by VicHealth to be the funding responsibility of local, state or federal government (e.g. Population-based surveillance) 
Researchers or organisations with a relationship with the tobacco industry within the last 5 years 
Videos, films, publications, conferences or travel in isolation of the specific project. 
International travel or international conference registration",,"Organisational overheads allowed when incurred as a direct result of the funded project:
https://www.vichealth.vic.gov.au/sites/default/files/IRG_Guidelines_2023.pdf 

Overheads that the organisation will incur regardless of the project should not be included, or if they are, should not form part of the VicHealth grant.
https://www.vichealth.vic.gov.au/sites/default/files/BudgetTemplate_IRG2023.docx",,26%,23-Mar,,,,,,,,,,,,,,,,
Category 2,State/Territory/Local (own purpose),"Department of Jobs, Skills, Industry and Regions (DJSIR) (Victoria)",Victorian Medical Research Acceleration Fund (VMRAF) - This is specific to Round 8 and may differ slightly for subsequent rounds,"Allowable. The grant can be used to fund ""staffing costs that relate solely to either: new employees or the expansion of hours for current part-time employees, provided these employees are working on the funded projects or the extension of contracts for staff whose contracts would otherwise end within the period of the agreement.""","	Allowable. Eligible staffing costs (Coloumn E) and associated on-costs are covered. The grant is designed to support research personnel.","•        regulatory and intellectual property fees and charges associated with registering domestic or international patents or other intellectual property enforcement expenses
•        equipment, consumables and services required for the research activity as outlined in the project description provided that such equipment, consumable or service is not listed as an ineligible expense in section 6.3 


https://sites.research.unimelb.edu.au/research-funding/domestic/djpr-victorian-medical-research-acceleration-fund-vmraf-and-mrna-vmraf
","• usual operational expenditure, including existing staff costs, communications, travel entertainment, vehicles, accommodation, and office computing equipment
 • routine replacement or minor upgrade of plant and equipment
 • printing, stationery, postage, and bank charges
 • basic and routine professional services including legal and accounting fees
 • any amount paid on account of goods and services tax
 • costs related to preparing the grant application, preparing any project reports and preparing any project variation requests
 • building routine websites, sales and promotional activities, marketing or communications campaigns
 • retrospective funding of projects",Mandatory 1:1 cash co-contribution. Grant funding will be provided on the basis that applicants provide 1:1 matched cash co-contribution. Preference is given to projects that have secured cash co-contribution from Collaborating Partners.,No. A mandatory 1:1 cash co-contribution is required instead of a traditional indirect cost rate.,,No applications with costing in Pure,13-Apr,,,,,,,,,,,,,,,,
Category 2,State/Territory/Local (own purpose),"Department of Jobs, Skills, Industry and Regions (DJSIR) (Victoria)",Metropolitan Partnerships Development Fund Program,Not specified in guidelines,Not specified in guidelines,Not specified in guidelines,"Grant recipients cannot use funds for business-as-usual costs or to offset current staffing costs.
https://www.suburbandevelopment.vic.gov.au/__data/assets/pdf_file/0022/183406/MPDF-Grant-Guidelines-Round-4-and-5.pdf",,Not specified in guidelines - however stated that they cannot be used for business as usual costs.,,No applications with costing in Pure,10-Apr,is closed?,,,,,,,,,,,,,,,
Category 3,Australian not-for profit organisations,Royal Australian College of General Practitioners (RACGP),RACGP Foundation Grants and Awards,Project related salaries,"Requests for professional salaries should be in accordance with the official NHMRC salary scales or scales from the submitting institution - this was not stated in any official guidelines, however this was stated in the instructions in all the application forms.",Grant funds awarded may only be used for direct research costs (including reasonable costs and projectrelated salaries) and not for any overhead or management fees of administering organisations.,Overheads.,,"Grant funds awarded may only be used for direct research costs (including reasonable costs and projectrelated salaries) and not for any overhead or management fees of administering organisations

https://www.racgp.org.au/getmedia/73f300ba-b0fa-42c7-b38d-42292628be77/RACGP-Foundation-Grants-and-Awards-Information-for-Applicants-2023.pdf.aspx",,0%,23-Mar,,,,,,,,,,,,,,,,
Category 3,International not-for profit organisations,Alzheimer's Association,AARGA (Alzheimer's Association Research Grant For All) ,Assistant Professor or equivalent for ≤7 years; full‑time employee.,"Salary for the principal investigator, scientific (including postdoctoral fellows) and
technical staff (including laboratory technicians and administrative support directly
related to the funded grant); there is no salary cap","● Purchase and care of laboratory animals
● Small pieces of laboratory equipment and laboratory supplies
● Computer software if used strictly for data collection 
● Membership to scientific association
● Professional development / communication training
● Support for travel to scientific and professional meetings
●Training costs to visit and perform research related to the awarded project on
another laboratory/facility 

Refer to for full guidelines https://www.alz.org/getmedia/161545c2-2a60-445e-9830-b87f81657289/aarga-rfa.pdf","● Computer hardware or standard software (e.g. Microsoft Office, mouse monitor, computer parts, AppleCare)
● Laboratory equipment such as freezers, ultracentrifuges, RT-PCR, Microscopy/imaging equipment
● Service contract fees of equipment
● Construction or renovation costs
● Tuition
● Rent for laboratory/office space
● Expenses such as Data Network Recharges and Computing and communication device support services. However, data sharing and/or data storage for imaging, sequencing and other study data is allowed.
● General liability insurances, such as GAEL Wire and currency exchange fees
● The Alzheimer’s Association Medical and Scientific Advisory Group (MSAG), the International Research Grant Program (IRGP) Council members and current employees of the Alzheimer’s Association are allowed to be key personnel or collaborators on projects, however they are NOT ALLOWED to receive any salary or compensation.

Refer to for full guidelines https://www.alz.org/getmedia/161545c2-2a60-445e-9830-b87f81657289/aarga-rfa.pdf",,No more than 10% of the total direct costs may be included as indirect costs; this is inclusive of indirect costs for the implementing institution as well as any to subcontracts,,10%,23-Mar,changed eligibility \,,,,,,,,,,,,,,,
Category 3,International not-for profit organisations,Alzheimer's Association,IRGP (international reserach grants program) - AARF (Alzheimer’s Association Research Fellowship ),"Individuals who have a position of an Assistant Professorship or above are not eligible.
Individuals currently enrolled in a Doctoral Program are not eligible, regardless of
prior degree status","Salary for the principal investigator, scientific (including postdoctoral fellows) and
technical staff (including laboratory technicians and administrative support directly
related to the funded grant); there is no salary cap","● Purchase and care of laboratory animals
● Small pieces of laboratory equipment and laboratory supplies
● Computer software if used strictly for data collection 
● Membership to scientific association
● Professional development / communication training
● Support for travel to scientific and professional meetings
●Training costs to visit and perform research related to the awarded project on
another laboratory/facility 

Refer to for full guidelines https://www.alz.org/getmedia/161545c2-2a60-445e-9830-b87f81657289/aarga-rfa.pdf","● Computer hardware or standard software (e.g. Microsoft Office, mouse monitor, computer parts, AppleCare)
● Laboratory equipment such as freezers, ultracentrifuges, RT-PCR, Microscopy/imaging equipment
● Service contract fees of equipment
● Construction or renovation costs
● Tuition
● Rent for laboratory/office space
● Expenses such as Data Network Recharges and Computing and communication device support services. However, data sharing and/or data storage for imaging, sequencing and other study data is allowed.
● General liability insurances, such as GAEL Wire and currency exchange fees
● The Alzheimer’s Association Medical and Scientific Advisory Group (MSAG), the International Research Grant Program (IRGP) Council members and current employees of the Alzheimer’s Association are allowed to be key personnel or collaborators on projects, however they are NOT ALLOWED to receive any salary or compensation.

Refer to for full guidelines https://www.alz.org/getmedia/939b15b1-3a05-4f62-9ada-ca906472909c/2025-january-august-rfa_core-program_final.pdf",,No more than 10% of the total direct costs may be included as indirect costs; this is inclusive of indirect costs for the implementing institution as well as any to subcontracts,,10%,23-Mar,,,,,,,,,,,,,,,,
Category 3,Australian not-for profit organisations,Heart Foundation,Postdoctoral Fellowships,The applicant will be considered the Chief Investigator A (CIA) on this project. Stipend support provided,"Must be allocated only to the salary of the Awardee. Stipends offered are exclusive of Superannuation Guarantee Contribution, workers compensation, leave loading and payroll tax.
https://assets.contentstack.io/v3/assets/blt8a393bb3b76c0ede/blt6bfb160f08965927/research-funding-guidelines.pdf",None - as stated in guidelines that this type of grant (Fellowship) is only to be used for salary of the awardee.,As stated in guidelines that this type of grant (Fellowship) is only to be used for salary of the awardee.,,Unallowable,,No applications with costing in Pure,23-Mar,,,,,,,,,,,,,,,,
Category 3,Australian not-for profit organisations,Heart Foundation,Future Leader Fellowships (Capped project support amounts are allowed)\,The applicant will be considered the Chief Investigator A (CIA) on this project. Stipend support provided,"Stipends offered are exclusive of Superannuation Guarantee Contribution, workers compensation, leave loading and payroll tax.
","Project support allowed at capped amounts.

Refer to Heart foundation Vanguard Grant (Project Grant) for costs allowable",Stipend allocation must be used for salary and project support allocation follows the guidelines similarly to Heart foundation Vanguard Grant (Project Grant) for costs allowable,,administrative or employment cost and overheads are prohibited,,0%,23-Mar,research-funding-guidelines.pdf,,,,,,,,,,,,,,,
Category 3,Australian not-for profit organisations,Heart Foundation,Vanguard Grant (project support),"CI costs, stipend for PhD student are both prohibited","Personnel costs for the following are allowed.

− Project Manager
− Project Officer
− Site Coordinator
− Research Coordinator
− Research Assistant
− Consumer Engagement
− Information Technology support
− Consultants
− Data Analysis","Equipment, maintenence, travel, training, adveristing, printing
","There are three expenditure areas that are not eligible in project support, these prohibited
costs are:
1. salary for the applicant (CIA) and other Chief Investigators,
2. stipend for a PhD student,
3. administrative or employment cost and overheads.",,administrative or employment cost and overheads are prohibited,,No applications with costing in Pure,23-Mar,,,,,,,,,,,,,,,,
Category 3,Australian not-for profit organisations,Heart Foundation,Collaboration and Exchange Award,No - All costs other than travel are not allowed,All costs other than travel are not allowed,"This award is to support the travel of the recipient to conferences and /or exchange activities. There are four budgetary options: 
− Accommodation 
− Flight 
− Conference costs 
− Other travel related costs",All costs other than travel are not allowed,,Unallowable,,No applications with costing in Pure,23-Mar,,,,,,,,,,,,,,,,
Category 2,State/Territory/Local (own purpose),Victorian WorkCover Authority (VWA) (trading as WorkSafe Victoria),Grants Program,Salary (FTE) costs,Refer to Column E,Contracting experts ,"• Purchase of equipment – where the principal activity is the purchase of equipment.
• Capital works, commercial activities or projects that seek funding for operational expenses that should be covered by the workplace.
• Activities that are being funded through other WorkSafe programs (for example sponsorship, funding agreements or other grants)

https://content-v2.api.worksafe.vic.gov.au/sites/default/files/2023-03/WorkSafe-grants-program-guidelines-2023-03.pdf",,Not specified in guidelines,,No applications with costing in Pure,23-Mar,,,,,,,,,,,,,,,,
Category 3,International not-for profit organisations,Worldwide Cancer Research,"Research Grants (Note that each one is round specific, therefore rules may change in subsequent rounds)","Salary of the PI not usually allowable. Exception: PI may request salary only if they are a post‑doctoral researcher with 3–10 years post‑doctoral experience who is trying to establish independence; in this case a mentor (Head of Department or Research Group Head) must be named as a co‑applicant.
• No more than 2 full‑time salaries (research staff dedicated to the project) may be requested.
• PhD student salaries/stipends can be included.
• Tenured/tenure‑track/open‑ended staff salaries cannot be charged.
• Core support staff (e.g., technicians) cannot be charged.
• Purely clinical staff (e.g., research nurses) cannot be included.
","Grants cover direct costs of the project, including salaries of research staff working directly on the project (post‑docs, PhD students, technicians, etc.) – subject to the limits above.
• PI salary only under the specified exception.
• Staff must be dedicated to the project; partial salaries may be requested only if commitment is less than 100% and must be justified.
Refer to grant guidelines: 

https://www.worldwidecancerresearch.org/media/ar0ldauj/application-handbook-2026-full.pdf","Grants cover the
direct costs of the project including research consumables, the salaries of research staff
working directly on the project, travel to conferences or to visit collaborators, and any
essential services or small pieces of specialist or unusual equipment.","Purely clinical staff, e.g. research nurses involved in patient recruitment, cannot be included in the salary budget.",,"The host institution must cover all indirect and overhead costs. This is not negotiable even if it is standard practice for your institution to charge overheads to external grants.
https://www.worldwidecancerresearch.org/media/2905/grant-application-handbook-2023-partners-final.pdf",,0%,23-Mar,,,,,,,,,,,,,,,,
Category 3,"Australian not-for profit organisations/Australian philanthropy
",Tour de Cure,All schemes,"Allowable in principle, but eligibility and justification required.
• Grants fund salaries of researchers and research assistants directly related to the project.
• The Chief Investigator must be an Australian citizen, permanent resident, or have applied for permanent residency (residency must be confirmed before payment).
• Career disruptions are considered for time‑based eligibility (e.g., years since PhD).
• PhD Support Scholarships: up to $10,000 for students already holding a primary scholarship (RTP, NHMRC, etc.).","Allowable as direct costs of the project, including salaries for research staff and research assistants, and PhD student stipends (top‑up only for PhD Support Scholarships).
• Senior Research Grant (up to $200,000) – for >14 years post‑PhD.
• Mid‑Career Grant (up to $100,000) – 5–14 years post‑PhD.
• Early Career Grant (up to $100,000) – within 5 years post‑PhD.
• PhD Support Scholarships (up to $10,000) – must hold a primary PhD scholarship.","Direct research costs including:
• Consumables, equipment, analytic resources, data, biobanks, enabling infrastructure (via Matching Grants).
• Conference attendance (for PhD Support Scholarships – 50% of funding may be used for this).
• Travel, fieldwork, and other project‑specific expenses if justified.
• Infrastructure enabling multiple research projects (Matching Grants).","• Indirect costs – none of the grant proceeds may be directed to indirect costs of the Eligible Organisation.
• Any withholding of funds by an organisation not directly performing the work – 100% must flow to the project.
• Research projects submitted under the Support Grant category (those are for non‑research support initiatives).",,0 indirect costs allowed,,0%,23-Mar,Home Page - Tour de Cure,,,,,,,,,,,,,,,
Category 3,Australian not-for profit organisations,Ecological Society of Australia Ltd,Holsworth Wildlife Research Endowment,No - post-graduate student research support only,post-graduate student research support,"• Purchase of equipment, supplies, travel to study areas and conferences, publishing results.
• Final year applicants may apply for up to $3,000 for communication of research (publishing fees, conference costs – international conferences allowed).
• First and second year applicants may apply for up to $800 for domestic conferences only.

https://www.ecolsoc.org.au/awards/holsworth/application-guidelines/","Funding for course fees, personal laptops or computers will not be approved.",,Unallowable -  prefer that all the funds requested for the student’s research be allocated for the work of the student and not for the general administration of the School or Department,,0%,10-Apr,,,,,,,,,,,,,,,,
Category 3,Australian not-for profit organisations,Royal Australasian College of Physicians (RACP),"Research Establishment Fellowship 
Research Entry Scholarship","	Research Establishment Fellowship: Stipend support for the recipient (the Fellow) is provided. No separate CI salary.
Research Entry Scholarship: Stipend support only (for the student).","Research Establishment Fellowship: May include a short‑term research assistant appointment (salary).
Research Entry Scholarship: Stipend only – no other personnel costs.

https://www.racp.edu.au/about/foundation/research-awards-and-career-grants/research-establishment-fellowships","Research Establishment Fellowship: Other support such as laboratory set‑up costs.
Research Entry Scholarship: Not applicable (stipend only).","Not specified in the terms and conditions. However, Research Entry Scholarship funds must not be used for travel or project expenses.",,No provision for indirect costs or overheads in the terms. The award is for stipend and direct research support only.,,No applications with costing in Pure,10-Apr,,,,,,,,,,,,,,,,
Category 3,Australian not-for profit organisations,auDA Foundation,All Schemes,Not specified,Not specified - award specific,Not specified - award specific,"Conferences, overseas travel, marketing
• General operational or administrative functions, including for example: 
 o Firewalls 
 o Secure transaction functionality 
 o Online search functions 
 o Intranet. 

https://files.auda.org.au/documents/2025-auDA-Community-Grant-Guidelines.pdf",Required – Grantee must provide a contribution of at least 10% of total project cost (cash or in‑kind). The auDA grant cannot account for 100% of the project cost. (Section 10 – Grant conditions; Grant Agreement),Unallowable,,No applications with costing in Pure,10-Apr,,,,,,,,,,,,,,,,
Category 3,"Australian not-for profit organisations/Australian philanthropy
/Australian for-profit organisations
",Lung Foundation Australia,Research Grants (excluding Travel Grants),"	Allowable as direct costs. Personnel salary costs are explicitly listed as direct costs. ",Allowable for salaries of research personnel.,"	Allowable direct costs include:
• Equipment, maintenance and travel associated with professional development
• Consumables

https://lungfoundation.com.au/wp-content/uploads/2025/08/Grants-and-Awards-Policy_202508.pdf
"," indirect and fundraising costs of research; these are expected to be covered by the Research Institution.
However, Research Institutions may apply a brokerage/administration levy up to:
• 5% of total grant if providing matched funding
• 2.5% if not providing matched funding","Matched funding is preferred for grants >$10,000 (institution to match total grant value or more), but not mandatory. Matched funding is viewed favourably. ","Indirect and fundraising costs are not supported. However, an administration levy (capped at 5% or 2.5%) may be charged by the institution as a direct cost. This is not traditional indirect cost recovery.",,0% (but institution levy up to 5% or 2.5% may be applied),10-Apr,,,,,,,,,,,,,,,,
Category 3,International not-for profit organisations,Human Frontier Science Program,HFSP Research Grants,"No salary support (including summer salaries) can be paid from the grant for the Principal Applicant, Co-Applicant or other faculty, institutional staff such as secretaries or laboratory managers, and no student tuition fees can be paid.

https://www.hfsp.org/funding/hfsp-funding/research-grants","Salaries or stipends for research assistants (post-doctoral scientists, graduate students, technicians) essential for the new collaborative project.","No detailed budget is required. The award is for costs specifically linked to the project.

> Purchase of equipment must be essential for the new collaboration which is proposed.
> Costs of reagents, animals, disposables, computer software necessary for the scientific collaboration. 
> Consulting services and computer services specific to the project, including rental fees (fees for computer
or telephone networks may be included in the indirect costs.
> Publication costs (including open access fees), article translations, mail, express courier services
> Travel and per diem
https://www.hfsp.org/sites/default/files/Sciences/Grants/LI%20Guidelines.pdf","The funds provided by the HFSP are not intended to replace or supplement current domestic programs nor to provide basic institutional infrastructure.
https://www.hfsp.org/sites/default/files/Sciences/Grants/LI%20Guidelines.pdf",,"No more than 10% of the direct costs of the award, at each research institution, may be used for
indirect costs.",10% of direct costs per institution ,10% cap per institution,24-Mar,,,,,,,,,,,,,,,,
